site,scan_type,manufacturer,model,headcoil,field_strength,sequence,flip_angle,snr,inversion_time,echo_time,repetition_time,bandwith_per_pixel,bandwith_per_voxel,parallel_aquisition,partial_fourier,number_of_slices,slice_orientation,slice_phase_encoding_direction,slice_acquisition_order,slice_thickness,slice_gap,field_of_view,acquisition_matrix,slice_inplace_resolution,number_of_measurements,acquisition_time,fat_suppression,number_of_directions,number_of_B_zeros,B_values,averages,reconstructed_voxels_dimensions
ABIDE_II-BNI_1 ,anat,Philips,Ingenia,15Ch,3T,MPRAGE,9.0,,900,shortest,shortest,,240,SENSE x 1,,170.0,axial,,sequential,"1,2",0,270x252,244x227,"1,1x1,1",,05:34:00,no,,,,,"1,05x1,05x1,2"
ABIDE_II-EMC_1 ,anat,GE,MR750,8Ch,3T,IR-FSPGR,16.0,,350,"4,236","10,27",,"20,83",ASSET x 2,,186.0,axial,,,"0,9",0,230x230,256x256,"0,9x0,9",,05:40:00,no,,,,,
ABIDE_II-ETH_1 ,anat,Philips,Achieva,32Ch,3T,3D TFE,8.0,,1150,shortest,"8,4",,"188,3","SENSE x 2,3",no,180.0,axial,,,"0,9","0,09",230x230,256x256,"0,9x0,9",,05:46:00,no,,,,,
ABIDE_II-GU_1 ,anat,Siemens,TriTim,12Ch,3T,MPRAGE,7.0,,1100,"3,5",2530,,190,GRAPPA x 2,no,176.0,axial,,,1,"0,5",256x256,256x256,1x1,,08:05:00,no,,,,,
ABIDE_II-IP_1 ,anat,Philips,Achieva,8Ch,"1,5T",MPRAGE,30.0,,,"5,6",25,,,SENSE x 2,,170.0,axial,,,1,,240x240,240x240,1x1,,04:37:00,no,,,,,"0,94x0,94x1"
ABIDE_II-IU_1 ,anat,Siemens,TriTim,32Ch,3T,3D TFL,8.0,,1000,"2,3",2400,,210,GRAPPA x 2,[7/8],256.0,axial,,,"0,7","0,35",224x224,320x320,"0,7x0,7",,07:02:00,no,,,,,
ABIDE_II-KUL_3 ,anat,Philips,Achieva Ds,32Ch,3T,3D TFE,8.0,,900,"4,6","9,4",,131,"SENSE x P1,5 S2,5",,182.0,axial,,,"1,2",,250x250,208x207,"1,2x1,2",,01:43:00,no,,,,,"0,98x0,98x1,2"
ABIDE_II-NYU_1 ,anat,Siemens,Allegra,8Ch,3T,3D TFL,7.0,,1100,"3,25","3,25",,200,,no,128.0,axial,,,"1,33","0,665",256x256,256x192,"1,3x1,0",,08:07:00,no,,,,,
ABIDE_II-NYU_2 ,anat,Siemens,Allegra,8Ch,3T,3D TFL,7.0,,1100,"3,25","3,25",,200,,no,128.0,axial,,,"1,33","0,665",256x256,256x192,"1,3x1,0",,08:07:00,no,,,,,
ABIDE_II-OHSU_1 ,anat,Siemens,TriTim,12Ch,3T,3D TFL,10.0,,900,"3,58",2300,,180,,no,160.0,axial,,,"1,1","0,55",256x240,256x256,1x1,,09:14:00,no,,,,,
